roll_no,date,time,status
5L7,2026-03-27,21:25:07,Present
5K7,2026-03-27,21:25:11,Present
5J4,2026-03-27,22:59:55,Present
5J3,2026-03-27,23:00:37,Present
5J3,2026-03-28,12:13:11,Present
5K7,2026-03-28,12:13:16,Present
5K7,2026-03-29,23:18:42,Present
5L7,2026-03-30,13:16:58,Present
5K7,2026-03-30,13:17:03,Present
5L7,2026-04-11,11:05:16,Present
5J4,2026-04-11,11:05:35,Present
5M5,2026-04-11,11:09:53,Present
5K7,2026-04-28,11:34:55,Present
5L7,2026-04-28,11:35:07,Present
5M5,2026-04-28,11:35:09,Present
5J3,2026-04-28,11:35:15,Present
